code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
METV,Roundhill Ball Metaverse ETF,19.72,16,11,8,18,6,12,5,76,0.0,81.0,Strong,Enter w/ confidence,69,2.3,4.1,3.4,63.4,0,,nan,nan,63879.94
SELF,Global Self Storage Inc,5.55,19,10,5,16,6,12,5,73,5.0,79.0,Strong,Enter w/ confidence,75,7.6,5.1,5.7,66.9,0,,Real Estate,63388884.0,29785.05
BZLYF,Beazley plc,17.695,16,11,12,15,6,11,2,73,2.0,78.0,Strong,Enter w/ confidence,66,1.7,2.3,2.4,58.4,0,,Financial Services,10508328960.0,0.0
PCG,PG&E Corp,17.96,19,14,5,15,6,9,3,71,2.0,77.0,Strong,Enter w/ confidence,64,2.9,5.6,2.5,57.8,0,,Utilities,39554510848.0,21976952.61
TIPT,Tiptree Inc,18.32,18,14,7,16,5,6,4,70,2.0,76.0,Strong,Enter w/ confidence,58,0.7,2.2,1.8,57.3,2,,Financial Services,682231168.0,243253.5
SPCB,Supercom Ltd,11.35,16,16,9,12,8,7,4,72,2.0,75.0,Strong,Enter w/ confidence,58,1.3,8.3,4.0,55.1,1,,Industrials,71283136.0,79251.81
HLTOY,Hellenic Telecommunications Org,11.67,14,15,8,14,7,11,4,73,-3.0,73.0,Strong,Enter w/ confidence,68,2.2,2.8,2.0,58.4,0,,Communication Services,9585769472.0,7509.49
ALPMF,Astellas Pharma Inc,16.45,15,12,7,15,6,11,5,71,2.0,73.0,Strong,Enter w/ confidence,58,22.3,26.1,10.6,57.5,2,,Healthcare,27253809152.0,0.0
PGEN,Precigen Inc,7.44,19,9,7,16,6,12,5,74,-2.0,72.0,Strong,Enter w/ confidence,74,14.6,7.7,14.5,68.3,1,,Healthcare,2652441600.0,4722917.43
ASM,Avino Silver & Gold Mines Ltd,7.6,14,12,6,17,7,9,5,70,1.0,72.0,Strong,Enter w/ confidence,57,10.0,19.1,13.0,64.3,2,,Basic Materials,1290899968.0,5071181.97
GVFF,Greenville Federal Financial Corp,7.68,20,13,4,14,6,10,5,72,-5.0,72.0,Strong,Enter w/ confidence,75,14.7,6.7,9.8,69.5,0,,Financial Services,14227436.0,300.22
BDRXF,Bombardier Inc Pref. Series C,19.01,18,11,11,14,6,10,4,74,-2.0,72.0,Strong,Enter w/ confidence,57,3.8,3.8,3.5,69.4,1,,Industrials,5107718144.0,0.0
SHC,Sotera Health Co,19.22,16,16,6,15,7,6,5,71,1.0,72.0,Strong,Enter w/ confidence,66,1.1,1.6,3.8,64.6,0,,Healthcare,5484902912.0,2890904.62
CAHPF,Evolution Mining Ltd,11.24,15,9,7,18,6,10,5,70,-3.5,71.5,Strong,Enter w/ confidence,67,15.5,23.5,21.1,73.5,2,,Basic Materials,22950094848.0,9058.31
ZIP,Ziprecruiter Inc,5.17,18,11,7,16,6,7,5,70,1.0,71.0,Strong,Enter w/ confidence,67,9.5,10.5,11.4,67.7,2,,Communication Services,425109248.0,1005320.3
EFRTF,Nexus Real Estate Investment Trust,5.86,13,14,8,12,3,7,2,59,4.0,71.0,Strong,Enter w/ confidence,56,3.4,3.2,2.3,59.8,1,,Real Estate,684225664.0,0.0
MBBC,"Marathon Bancorp, Inc. Common Stock",15.125,16,12,8,13,6,8,3,66,2.0,71.0,Strong,Enter w/ confidence,43,0.2,-0.0,1.1,53.3,0,,Financial Services,44630032.0,7315.69
XZO,"Exzeo Group, Inc.",16.18,10,14,8,14,9,2,5,62,4.0,71.0,Strong,🔥 COILED: Enter w/ confidence,47,3.3,-0.7,1.7,52.7,1,,Financial Services,1457590272.0,0.0
UBRL,GraniteShares 2x Long UBER Daily ETF,17.163,14,14,5,14,7,11,5,70,1.0,71.0,Strong,Enter w/ confidence,43,7.1,22.9,10.0,60.7,2,,nan,nan,158506.15
BPAQF,BP p.l.c,7.5,17,11,10,15,4,7,5,69,1.0,70.0,Strong,Enter w/ confidence,56,5.9,5.9,5.9,61.8,1,,Energy,115890405376.0,42685.95
PCYO,Pure Cycle Corporation,11.69,15,11,7,17,6,8,5,69,1.0,70.0,Strong,Enter w/ confidence,63,3.1,9.7,5.2,69.6,1,,Utilities,281698240.0,57864.92
SOTK,Sono-Tek Corp,5.35,13,16,9,14,7,4,3,66,0.0,69.0,Moderate,🔥 COILED: Enter w/ caution,56,3.8,-1.3,1.5,52.6,1,,Technology,84084464.0,31947.59
